"OriginalEnglish","Translation","Locations"
"Build community and culture by enhancing the viewing experience","Vybudovat komunitu a kulturu vylepšením zážitku ze sledování","/docs/sss/v4/cs-cz/playlists.json;4c0af6a7-0d18-4fbf-a459-3533db7d5d35;Description
"
"Target pages, news, files, and menu links to specific audiences ","Odkazy na cílové stránky, zprávy, soubory a nabídky na konkrétní cílové skupiny ","/docs/sss/v4/cs-cz/playlists.json;5d8de491-43a0-4773-943a-9a82a790aa39;Description
"
"Make your site mobile friendly and encourage viewers to download the SharePoint mobile app","Nastavení mobilního webu na mobilní zařízení a povzbuzení diváků ke stažení mobilní aplikace SharePoint","/docs/sss/v4/cs-cz/playlists.json;0c9c117e-aebc-48ed-9f9b-82a5c26464ab;Description
"
"Introduction to SharePoint permissions, sharing, and accessibility","Úvod k oprávněním, sdílení a usnadnění přístupu k SharePointu","/docs/sss/v4/cs-cz/playlists.json;e6930b5b-1992-4d23-8b0c-e64a937336cb;Description
"
"Video: Create a team or communication site","Video: Vytvoření týmového nebo komunikačního webu","/docs/sss/v4/cs-cz/assets.json;651cff1e-a1c8-4f9b-b026-9883141ce685;Title
"
"What is a SharePoint hub site?","Co je web centra SharePointu?","/docs/sss/v4/cs-cz/assets.json;cd4764b9-6005-4eb3-b414-8376983f3792;Title
"
"What is a document library?","Co je knihovna dokumentů?","/docs/sss/v4/cs-cz/assets.json;d59696be-04aa-4bba-a932-c5b0f9c18d97;Title
"
"Get started with Microsoft Lists","Začínáme se seznamy Microsoftu","/docs/sss/v4/cs-cz/assets.json;e9721652-7d13-4327-84ce-432a07697db4;Title
"
"Create a Communication site in SharePoint","Vytvoření komunikačního webu v SharePointu","/docs/sss/v4/cs-cz/assets.json;273a0341-123c-473e-a35a-241342b5977d;Title
"
"Create a Team site in SharePoint","Vytvoření týmového webu v SharePointu","/docs/sss/v4/cs-cz/assets.json;69ee4906-8006-4f74-8b69-263881c1a240;Title
"
"Associate a SharePoint site with a hub","Přidružení sharepointového webu k rozbočovači","/docs/sss/v4/cs-cz/assets.json;0040579b-5271-4a4c-bc4e-83dcbf8c243a;Title
"
"Customize the navigation on your SharePoint site","Přizpůsobení navigace na sharepointovém webu","/docs/sss/v4/cs-cz/assets.json;ad7d7d4d-f9b4-4097-80eb-8816a8003374;Title
"
"Customize your SharePoint site","Přizpůsobení sharepointového webu","/docs/sss/v4/cs-cz/assets.json;d24f6e10-708a-46fb-b50b-26e6f8e3129c;Title
"
"Add texts and tables to your page","Přidání textů a tabulek na stránku","/docs/sss/v4/cs-cz/assets.json;efca39c9-07b3-4d40-9c90-022dc73ea611;Title
"
"Use the Image web part","Použití webové části Obrázek","/docs/sss/v4/cs-cz/assets.json;b47bf41b-369f-4f69-9821-e749a2654f71;Title
"
"Share a site","Sdílení webu","/docs/sss/v4/cs-cz/assets.json;cb7144ef-27af-4cac-9b49-1ad15e129ea4;Title
"
"Manage your SharePoint site settings","Správa nastavení sharepointového webu","/docs/sss/v4/cs-cz/assets.json;d43e875f-02e2-4ed6-83f5-8b4700f8bac3;Title
"
"View usage data for your SharePoint site","Zobrazení dat o využití sharepointového webu","/docs/sss/v4/cs-cz/assets.json;603b00b9-efd6-4e4f-a174-6565375ac529;Title
"
"Delete a SharePoint site or subsite","Odstranění sharepointového webu nebo podřízené lokality","/docs/sss/v4/cs-cz/assets.json;00827e92-460c-417d-b141-9b5fb91d8c42;Title
"
"Collaborating with Teams, SharePoint, and OneDrive","Spolupráce s Teams, SharePointem a OneDrivem","/docs/sss/v4/cs-cz/assets.json;765f3fe7-7822-4d09-abe9-9d24a3b569d7;Title
"
"Create a Microsoft Team from SharePoint","Vytvoření týmu Microsoft ze SharePointu","/docs/sss/v4/cs-cz/assets.json;ebf49e3b-98f8-49a2-b048-ce55c7d3d914;Title
"
"Add a SharePoint page or list to a channel in Teams","Přidání sharepointové stránky nebo seznamu do kanálu v Teams","/docs/sss/v4/cs-cz/assets.json;c9e42071-d443-4ca5-85b0-042590484a8e;Title
"
"Use Microsoft Planner on your SharePoint site","Použití Plánovače Microsoftu na sharepointovém webu","/docs/sss/v4/cs-cz/assets.json;612dff49-7273-46a0-85ae-0edc6b1c62b5;Title
"
"Use the Planner web part","Použití webové části Plánovač","/docs/sss/v4/cs-cz/assets.json;c62777e3-3b77-4b3d-aff1-590a9e9646c1;Title
"
"What is Yammer?","Co je Yammer?","/docs/sss/v4/cs-cz/assets.json;ec77aaec-df07-4b28-983d-c7d1789fa537;Title
/docs/learningpathways/v4/cs-cz/assets.json;1b0f3b3e-89ee-4b66-aac5-30def12f287c;Title
/docs/learningpathways/v4/cs-cz/assets.json;47526868-b136-40cc-a80d-c870eadd9ba5;Title
/docs/learningpathways/v4/cs-cz/assets.json;ffc1d9c2-7513-4e64-a7c6-d901ed9c0cfe;Title
"
"Use the Yammer web parts in SharePoint Online","Použití webových částí Yammeru v SharePointu Online","/docs/sss/v4/cs-cz/assets.json;bd3193b4-6aff-440a-878a-8c09ac310931;Title
"
"Overview of Audience Targeting in Modern SharePoint sites","Přehled cílení na okruhy uživatelů na moderních sharepointových webech","/docs/sss/v4/cs-cz/assets.json;7e63eb42-2f1f-4afb-b6e3-43ada4faf681;Title
"
"Target files, news and pages to specific audiences","Cílení souborů, zpráv a stránek na konkrétní publikum","/docs/sss/v4/cs-cz/assets.json;b2258863-188f-4714-9fa0-54836385bff4;Title
"
"Use the Highlighted content web part","Použití webové části Zvýrazněný obsah","/docs/sss/v4/cs-cz/assets.json;581f02ec-0666-4406-80a9-510d67feed77;Title
"
"Use the Recent documents web part","Použití webové části Poslední dokumenty","/docs/sss/v4/cs-cz/assets.json;889942d3-5ec1-43fa-b56c-6d5be1a51a4b;Title
"
"Use the Sites web part","Použití webové části Weby","/docs/sss/v4/cs-cz/assets.json;7ed6a352-9328-49ad-9ee1-0baaeedef979;Title
"
"Video: Stay connected using the SharePoint mobile app","Video: Zůstaňte ve spojení pomocí mobilní aplikace SharePoint","/docs/sss/v4/cs-cz/assets.json;720182be-f59c-4dd4-ae7f-82fda5ffa5ec;Title
"
"Create an internal product launch site","Vytvoření interního webu pro uvedení produktu na trh","/docs/sss/v4/cs-cz/assets.json;ad905a16-d54d-4fd0-be6a-d108165735d7;Title
"
"Create a new hire site","Vytvoření nového webu pro pronájem","/docs/sss/v4/cs-cz/assets.json;06883190-b2a3-4e66-8e71-b8e16915460c;Title
"
"Create a community site","Vytvoření komunitního webu","/docs/sss/v4/cs-cz/assets.json;2f36ab3e-0bf1-4d60-b9aa-3584e2271219;Title
"
"Create a project collaboration space","Vytvoření prostoru pro spolupráci na projektu","/docs/sss/v4/cs-cz/assets.json;809ef3fb-4201-446b-8e0d-b239bac5db52;Title
"
"Use the Quick links web part","Použití webové části Rychlé odkazy","/docs/sss/v4/cs-cz/assets.json;636c403e-235e-47bb-9186-d3dacc98edfc;Title
"
"Overview: site permission and sharing for site owners","Přehled: Oprávnění a sdílení webu pro vlastníky webu","/docs/sss/v4/cs-cz/assets.json;8e19595a-2499-4e67-8897-db5ae71b182e;Title
"
"Make your SharePoint site accessible to people with disabilities","Zpřístupnění sharepointového webu lidem s postižením","/docs/sss/v4/cs-cz/assets.json;1915a4bf-b7f1-456f-926f-36fd22250382;Title
"
"Using web parts on SharePoint pages","Používání webových částí na stránkách SharePointu","/docs/sss/v4/cs-cz/assets.json;21ef9262-921b-42f3-8196-f60d0552ac13;Title
"
"Use the News web part on a SharePoint page","Použití webové části Zprávy na stránce SharePointu","/docs/sss/v4/cs-cz/assets.json;f8aef834-604b-4469-b84f-2b0ba2285d24;Title
"
"Create a document library in SharePoint","Vytvoření knihovny dokumentů v SharePointu","/docs/sss/v4/cs-cz/assets.json;424c7d30-f7ae-4e24-bda5-ed1bb70c6455;Title
"
"Create a list in SharePoint","Vytvoření seznamu v SharePointu","/docs/sss/v4/cs-cz/assets.json;959315c6-50e7-48e5-beb8-76175908d260;Title
"
"Plan your SharePoint communication site","Plánování komunikačního webu SharePointu","/docs/sss/v4/cs-cz/assets.json;06ae6bce-eb18-4cf7-8f80-5d94b69053ad;Title
"
"Overview of how to build your site","Přehled sestavení webu","/docs/sss/v4/cs-cz/assets.json;f31c13d3-3753-4cc9-93f2-c3134d81a798;Title
"
"Manage your SharePoint communication site","Správa komunikačního webu SharePointu","/docs/sss/v4/cs-cz/assets.json;e43325fe-6608-4125-a0c6-d771042d86ef;Title
"
"Create and share news on your SharePoint sites","Vytváření a sdílení zpráv na sharepointových webech","/docs/sss/v4/cs-cz/assets.json;36817246-de68-4510-97cb-25abedf98d25;Title
"
"Office 365","Office 365","/docs/sss/v4/cs-cz/metadata.json;TechnologySubject;78444c91-e53b-4f0b-8c85-e5cb925c4b7f
/docs/learningpathways/v4/cs-cz/metadata.json;TechnologySubject;78444c91-e53b-4f0b-8c85-e5cb925c4b7f
"
"Windows 10","Windows 10","/docs/sss/v4/cs-cz/metadata.json;TechnologySubject;9cd68cb5-26f5-4a29-952f-3b812fcb7414
/docs/learningpathways/v4/cs-cz/metadata.json;TechnologySubject;9cd68cb5-26f5-4a29-952f-3b812fcb7414
"
"PSTN Calling","Volání do prvníšky","/docs/sss/v4/cs-cz/metadata.json;TechnologySubject;f359a147-9720-4dbd-aba2-14655b4f1876
/docs/learningpathways/v4/cs-cz/metadata.json;TechnologySubject;3bd4b767-148f-4f53-a206-b42e9f3a73cd
"
"Meetings","Schůzky","/docs/sss/v4/cs-cz/metadata.json;TechnologySubject;ff9a730c-f974-42af-a30b-06c7ac2d11fa
/docs/learningpathways/v4/cs-cz/metadata.json;TechnologySubject;615f17eb-2c5b-4494-8541-4304435ca306
"
"Site Planning","Plánování lokality","/docs/sss/v4/cs-cz/metadata.json;TechnologySubject;53486dd0-d94e-4da8-94ec-2942faacaad6
/docs/learningpathways/v4/cs-cz/metadata.json;TechnologySubject;e772e866-7b81-4e5c-bfad-36aa9ee98eaf
"
"Site Creation","Vytvoření webu","/docs/sss/v4/cs-cz/metadata.json;TechnologySubject;1401f04e-3a22-491c-bf18-f37833e215a5
/docs/learningpathways/v4/cs-cz/metadata.json;TechnologySubject;c0af989f-3c4b-4f6f-ba58-7f2a335cb445
"
"Site Branding and Customization","Značky a přizpůsobení webu","/docs/sss/v4/cs-cz/metadata.json;TechnologySubject;80058d77-cd63-40c9-acf9-6dd8f7ffc8ac
/docs/learningpathways/v4/cs-cz/metadata.json;TechnologySubject;2324ad0f-5577-408f-b5aa-fad1e5a8f208
"
"Site Sharing","Sdílení webu","/docs/sss/v4/cs-cz/metadata.json;TechnologySubject;839db42f-02e6-4d57-93c2-b061f8075c95
/docs/learningpathways/v4/cs-cz/metadata.json;TechnologySubject;839db42f-02e6-4d57-93c2-b061f8075c95
"
"Site Management","Správa webu","/docs/sss/v4/cs-cz/metadata.json;TechnologySubject;41128013-96b4-442f-b44f-a30b232a2782
/docs/learningpathways/v4/cs-cz/metadata.json;TechnologySubject;41128013-96b4-442f-b44f-a30b232a2782
"
"Policies","Politiky","/docs/sss/v4/cs-cz/metadata.json;TechnologySubject;2a5f3071-3cf3-45f0-949a-cafc07af413b
/docs/learningpathways/v4/cs-cz/metadata.json;TechnologySubject;2a5f3071-3cf3-45f0-949a-cafc07af413b
"
"SharePoint Success Site","Web úspěchu služby SharePoint","/docs/sss/v4/cs-cz/metadata.json;Category;51fa7728-5658-4a2e-b08e-e004ca0f3b46
"
"Plan your site","Plánování webu","/docs/sss/v4/cs-cz/metadata.json;Subcategory;5f078eee-488b-4d28-b2a4-2a68a6662db6
"
"Build your site","Vytvoření webu","/docs/sss/v4/cs-cz/metadata.json;Subcategory;35d96c14-6269-4cdf-8ac1-2944bb278860
"
"Launch and manage your site","Spuštění a správa webu","/docs/sss/v4/cs-cz/metadata.json;Subcategory;6be8e21b-c070-4305-a3d1-996569adcfbe
"
"Advanced site creation","Pokročilé vytváření webu","/docs/sss/v4/cs-cz/metadata.json;Subcategory;4f65a4f2-c43a-415b-b576-13744eb618b2
"
"HelpDesk","HelpDesk","/docs/sss/v4/cs-cz/metadata.json;Audience;27513aaf-fee5-4f27-b924-e31d865e4092
/docs/learningpathways/v4/cs-cz/metadata.json;Audience;41779dd0-ae42-4a62-8b66-bd87c137f4ac
"
"Change Manager","Správce změn","/docs/sss/v4/cs-cz/metadata.json;Audience;4aa421d1-dc55-4b87-aa63-f1845ae49d98
/docs/learningpathways/v4/cs-cz/metadata.json;Audience;97150537-2c2f-42f9-8bc6-73e68fda0d38
"
"Champions/Trainer","Šampioni/trenér","/docs/sss/v4/cs-cz/metadata.json;Audience;4e425c61-28fa-4606-afe8-5df5974ec243
/docs/learningpathways/v4/cs-cz/metadata.json;Audience;304b216c-ea4d-436c-83f8-93ba1319943b
"
"Executive Assistant","Výkonný asistent","/docs/sss/v4/cs-cz/metadata.json;Audience;e43ac038-f77b-4c08-87d1-a623e2b3323e
/docs/learningpathways/v4/cs-cz/metadata.json;Audience;d093e0b6-b9f1-4b46-877c-0a49e989ee40
"
"VIP","VIP","/docs/sss/v4/cs-cz/metadata.json;Audience;823ca3d1-4cea-48af-8112-d8341e1514f5
/docs/learningpathways/v4/cs-cz/metadata.json;Audience;c92ae45b-8770-48f6-8870-3ec74a310da7
"
"End User","Koncový uživatel","/docs/sss/v4/cs-cz/metadata.json;Audience;16a2aa54-3bf8-4a75-aea5-bc70650c94b3
/docs/learningpathways/v4/cs-cz/metadata.json;Audience;82a23325-2e47-4ff9-8747-b6e01c452b81
"
"Content Editor","Editor obsahu","/docs/sss/v4/cs-cz/metadata.json;Audience;28abd597-fc2f-4922-9fab-122b3c1bad0f
/docs/learningpathways/v4/cs-cz/metadata.json;Audience;e22b05b1-e778-4c97-9646-b8933c209772
"
"Content Manager","Správce obsahu","/docs/sss/v4/cs-cz/metadata.json;Audience;45eaf6fe-7d2d-468a-9b43-091c7602d46a
/docs/learningpathways/v4/cs-cz/metadata.json;Audience;f110eb03-e899-46a9-83be-8f507dae83c1
"
"Group Owner","Vlastník skupiny","/docs/sss/v4/cs-cz/metadata.json;Audience;28067f25-40f0-4774-9971-b079d7a29f1b
/docs/learningpathways/v4/cs-cz/metadata.json;Audience;a8787978-0ee5-4bc6-9c2c-eb11fc47cbfd
"
"Site Sponsor","Sponzor webu","/docs/sss/v4/cs-cz/metadata.json;Audience;678c6d05-d27c-4a4e-afa8-532e6d1e7ab4
/docs/learningpathways/v4/cs-cz/metadata.json;Audience;e2fce8e0-2014-4e36-81a5-0723b85958f8
"
"All","Všichni","/docs/sss/v4/cs-cz/metadata.json;Audience;283b65f1-fcde-4a0a-8fa4-947a3d2bd40b
/docs/learningpathways/v4/cs-cz/metadata.json;Audience;092298e4-2cad-4ee5-89a8-68b2ad07dc96
/src/webpart/src/webparts/common/loc/cs-cz.ts;FilterNotSet
/src/webpart/src/webparts/common/loc/cs-cz.ts;SizeOptionAll
/src/webpart/src/webparts/common/loc/cs-cz.ts;LayoutOptionAll
/src/webpart/src/webparts/common/loc/cs-cz.ts;LicenseOptionAll
"
"Beginner","Začátečník","/docs/sss/v4/cs-cz/metadata.json;Level;4bdd44af-d093-454d-941b-a46812de8870
/docs/learningpathways/v4/cs-cz/metadata.json;Level;728fc9bd-0e13-4b9f-a7b5-51bd1f01c524
"
"Intermediate","Meziprodukt","/docs/sss/v4/cs-cz/metadata.json;Level;b6eb2e21-6614-4d38-abb1-260cdf83f449
/docs/learningpathways/v4/cs-cz/metadata.json;Level;ab49a955-3814-41fa-aa33-1b2757bc28ea
"
"Advanced","Pokročilý","/docs/sss/v4/cs-cz/metadata.json;Level;bd8f9e7a-0ab7-4289-b330-129fb277f738
/docs/learningpathways/v4/cs-cz/metadata.json;Level;fbc841eb-1082-4c27-b13b-f7965947cb16
"
"New","Nový","/docs/sss/v4/cs-cz/metadata.json;StatusTag;b139cdb6-7ca2-4913-a118-0d8d2b20333c
/docs/learningpathways/v4/cs-cz/metadata.json;StatusTag;c11c485b-496d-479b-88a3-1744a7a028d7
"
"Updated","Aktualizovaný","/docs/sss/v4/cs-cz/metadata.json;StatusTag;5022e586-e10c-41f6-a17e-5bbe5f213452
/docs/learningpathways/v4/cs-cz/metadata.json;StatusTag;9d1fab25-ed9c-404e-941b-41e428d18726
"
"Retiring","Penzionování","/docs/sss/v4/cs-cz/metadata.json;StatusTag;1a82c2c0-5773-41e6-a450-776c18621144
/docs/learningpathways/v4/cs-cz/metadata.json;StatusTag;90fe6290-e063-4778-a8a1-7531c2a0a40e
"
"Retired","Vysloužilý","/docs/sss/v4/cs-cz/metadata.json;StatusTag;e5653e35-2e7f-47f6-9257-1b6be501f26e
/docs/learningpathways/v4/cs-cz/metadata.json;StatusTag;4eb25076-b5d0-41cb-afa6-4e0c5a1c9664
"
"Beta","Beta","/docs/sss/v4/cs-cz/metadata.json;StatusTag;51237b71-fc44-4c13-b6d2-67bb054e14e5
/docs/learningpathways/v4/cs-cz/metadata.json;StatusTag;42be48f6-1f82-4fda-a757-add2499677d9
"
"Six Simple Steps - Welcome to Microsoft 365","Šest jednoduchých kroků – vítá vás Microsoft 365","/docs/learningpathways/v4/cs-cz/playlists.json;959166d8-1cb7-4315-af20-541598ebecaa;Title
"
"Get started with Teams","Začínáme s Teams","/docs/learningpathways/v4/cs-cz/playlists.json;bb92e79e-fe45-4f82-83ab-704b75bb6223;Title
"
"Create a chat-based workspace with Teams","Vytvoření pracovního prostoru založeného na chatu s Teams","/docs/learningpathways/v4/cs-cz/playlists.json;31fe13c5-ec7d-4a3c-98db-89292b0c0824;Title
"
"Create impactful content together","Vytváření vlivného obsahu společně","/docs/learningpathways/v4/cs-cz/playlists.json;fe736497-1a7c-4397-9963-17aab7e64557;Title
"
"Save and share files with OneDrive","Ukládání a sdílení souborů na OneDrivu","/docs/learningpathways/v4/cs-cz/playlists.json;2ab5e51a-67b9-44af-9ca6-de681329f813;Title
"
"Share sites and content with SharePoint","Sdílení webů a obsahu pomocí SharePointu","/docs/learningpathways/v4/cs-cz/playlists.json;a40ae370-557f-4a5b-9b17-3d14bbb6893e;Title
"
"Connect your organization with Yammer","Propojení organizace s Yammerem","/docs/learningpathways/v4/cs-cz/playlists.json;1bb00cc3-21a5-432d-b535-4b970feb332c;Title
"
"Run effective meetings","Spouštění efektivních schůzek","/docs/learningpathways/v4/cs-cz/playlists.json;19a310b9-b50c-44ae-96e2-b30f17a38528;Title
/docs/learningpathways/v4/cs-cz/assets.json;1a747a9c-dc47-480e-b3d7-1df74cbe2d29;Title
"
"Create inclusive meeting environments","Vytvoření inkluzivních prostředí pro schůzky","/docs/learningpathways/v4/cs-cz/playlists.json;3cbbe474-ef4d-4154-aeb1-9a01d51764d4;Title
/docs/learningpathways/v4/cs-cz/assets.json;1a583551-1f93-4d71-bac1-5881d5f8b1e7;Title
"
"Asynchronous collaboration and co-authoring","Asynchronní spolupráce a spoluvytváření","/docs/learningpathways/v4/cs-cz/playlists.json;fdaae787-a991-40ae-ad83-87f05c8cf8ea;Title
"
"Reach large audiences with live events","Oslovte velké publikum živými událostmi","/docs/learningpathways/v4/cs-cz/playlists.json;6f3bbc71-627d-4427-9635-6aadd0a203f9;Title
"
"Stay well","Zůstaňte v pořádku","/docs/learningpathways/v4/cs-cz/playlists.json;285da770-2eb7-41ca-b403-c782ac69cd5d;Title
"
"Stay connected","Zůstaňte ve spojení","/docs/learningpathways/v4/cs-cz/playlists.json;21f572e7-98eb-49f3-9ff0-a9dc8eed583a;Title
/docs/learningpathways/v4/cs-cz/assets.json;26dc26c2-f0aa-46d6-a7ca-d41c95324789;Title
"
"Stay productive","Zůstaňte produktivní","/docs/learningpathways/v4/cs-cz/playlists.json;8bbe76ed-6ac6-41a4-a253-3dd680cc15ef;Title
"
"Use Microsoft 365 across your work and devices","Používání Microsoftu 365 na různých pracovních a zařízeních","/docs/learningpathways/v4/cs-cz/playlists.json;fa3a7737-b33d-4481-9b80-416d20b9ca9f;Title
"
"Use Microsoft 365 across your team","Používání Microsoftu 365 v celém týmu","/docs/learningpathways/v4/cs-cz/playlists.json;9647e1aa-63a1-48d1-aea9-b0913f0f1e0b;Title
"
"Use Microsoft 365 across your organization","Používání Microsoftu 365 v celé organizaci","/docs/learningpathways/v4/cs-cz/playlists.json;cb4effb6-f78e-444a-98b7-6274ad2fe70c;Title
/docs/learningpathways/v4/cs-cz/playlists.json;cb4effb6-f78e-444a-98b7-6274ad2fe70c;Description
"
"Day in your digital life with Office 365","Den v digitálním životě s Office 365","/docs/learningpathways/v4/cs-cz/playlists.json;1f5ec8e6-5fef-481a-ad87-59842c3d539b;Title
"
"Cybersecurity fundamentals","Základy kybernetické bezpečnosti","/docs/learningpathways/v4/cs-cz/playlists.json;e51271b2-b4c0-4038-aa97-e4498c953afe;Title
"
"Digital safety","Digitální bezpečnost","/docs/learningpathways/v4/cs-cz/playlists.json;72863bbc-46ae-41dc-885d-0edb0a8abaa4;Title
"
"Top threats","Hlavní hrozby","/docs/learningpathways/v4/cs-cz/playlists.json;5872570a-e8a6-4d84-8802-4dd053b4dabc;Title
"
"Work remotely with Microsoft 365","Vzdálená práce s Microsoftem 365","/docs/learningpathways/v4/cs-cz/playlists.json;35f25052-fa93-4daf-8d2e-b29935a002d0;Title
"
"Best practices for collaborating with Microsoft 365","Doporučené postupy pro spolupráci s Microsoftem 365","/docs/learningpathways/v4/cs-cz/playlists.json;b7fa7e0e-2282-48d3-8010-3b28d5dc3d04;Title
"
"Access Quick Start","Přístup k rychlému spuštění","/docs/learningpathways/v4/cs-cz/playlists.json;d59b1053-3756-4d9f-82a8-0ac97b11529c;Title
"
"Intro to Access","Úvod do přístupu","/docs/learningpathways/v4/cs-cz/playlists.json;3c376578-f821-4184-9365-75011c163f68;Title
"
"Create an Access database","Vytvoření databáze aplikace Access","/docs/learningpathways/v4/cs-cz/playlists.json;e112c3e9-685f-41a0-abb5-718ee4f43bb5;Title
"
"Add tables","Přidání tabulek","/docs/learningpathways/v4/cs-cz/playlists.json;91128a67-3846-4a87-98c5-de91402260eb;Title
"
"Use relationships","Použití relací","/docs/learningpathways/v4/cs-cz/playlists.json;6649c605-0d13-4420-9282-3fa590c2fbc4;Title
"
"Add and edit data","Přidání a úprava dat","/docs/learningpathways/v4/cs-cz/playlists.json;56aba6b0-660b-4f8c-a7d8-9b1ad7593bb4;Title
"
"Manage data with queries","Správa dat pomocí dotazů","/docs/learningpathways/v4/cs-cz/playlists.json;b16495f6-4216-4eed-b208-7280a885ebbf;Title
"
"Create forms","Vytváření formulářů","/docs/learningpathways/v4/cs-cz/playlists.json;4eb4ff40-6b3f-45a7-ade9-f879a79e70f9;Title
"
"Create reports","Vytváření sestav","/docs/learningpathways/v4/cs-cz/playlists.json;8580d541-b2ba-4ae2-bd06-ec26ebc59485;Title
"
"Protect databases","Ochrana databází","/docs/learningpathways/v4/cs-cz/playlists.json;82c6b011-7190-412e-9d3e-6410eae0d752;Title
"
"Create Charts","Vytváření grafů","/docs/learningpathways/v4/cs-cz/playlists.json;2aa461ea-18f5-47d4-a29c-e63fda70f75b;Title
"
"Microsoft 365 Accessibility Overview and Resources","Přehled a zdroje informací o usnadnění přístupu k Microsoftu 365","/docs/learningpathways/v4/cs-cz/playlists.json;fbf60a54-6a6c-4c6d-a121-c478f9531a98;Title
"
"Create more accessible email messages in Outlook","Vytváření přístupnějších e-mailových zpráv v Outlooku","/docs/learningpathways/v4/cs-cz/playlists.json;cf352e8f-caf6-4e52-86d5-ae218004e089;Title
/docs/learningpathways/v4/cs-cz/playlists.json;cf352e8f-caf6-4e52-86d5-ae218004e089;Description
"
"Create more accessible Word documents","Vytvoření přístupnějších dokumentů aplikace Word","/docs/learningpathways/v4/cs-cz/playlists.json;76253e80-b36d-479a-9267-e73f2b5a8600;Title
/docs/learningpathways/v4/cs-cz/playlists.json;76253e80-b36d-479a-9267-e73f2b5a8600;Description
"
